id,longitude,latitude
16,103.68646,1.34024
18,103.69008,1.32528
19,103.69115,1.34134
20,103.69518,1.34685
21,103.69604,1.31952
22,103.69825,1.33567
24,103.70158,1.34191
25,103.70569,1.34196
28,103.71074,1.33322
29,103.71315,1.34855
30,103.71777,1.34965
31,103.72013,1.33041
32,103.72177,1.34455
33,103.72465,1.33375
34,103.72513,1.35015
35,103.73163,1.34476
36,103.73602,1.34845
38,103.73691,1.37745
39,103.73706,1.33277
40,103.74067,1.33392
41,103.74085,1.38366
43,103.74245,1.34820
44,103.74320,1.32059
45,103.74385,1.41283
46,103.74464,1.38550
47,103.74576,1.36332
48,103.74578,1.33449
49,103.74620,1.40098
51,103.74918,1.35825
53,103.74986,1.39816
54,103.75015,1.37739
55,103.75261,1.34938
57,103.75378,1.39535
59,103.75439,1.37875
60,103.75543,1.33640
61,103.75562,1.31477
62,103.75575,1.42131
63,103.75806,1.38468
64,103.75912,1.34232
65,103.75932,1.31044
66,103.76108,1.42199
67,103.76153,1.32248
68,103.76211,1.38381
69,103.76316,1.35861
70,103.76322,1.30407
71,103.76558,1.37534
72,103.76586,1.32201
73,103.76701,1.30461
74,103.76720,1.35522
75,103.76855,1.43989
76,103.76890,1.33649
77,103.76920,1.38113
78,103.76987,1.31594
79,103.77226,1.44413
80,103.77242,1.38980
81,103.77263,1.34616
82,103.77278,1.37320
83,103.77340,1.42746
84,103.77641,1.44179
85,103.77775,1.34221
86,103.77929,1.31092
88,103.78190,1.43154
89,103.78267,1.29551
90,103.78439,1.33619
91,103.78524,1.30727
92,103.78543,1.43566
93,103.78894,1.28345
94,103.78899,1.44330
95,103.78918,1.29942
99,103.79149,1.43201
100,103.79225,1.30820
101,103.79281,1.33958
103,103.79503,1.43727
104,103.79585,1.31027
105,103.79867,1.44505
106,103.79871,1.29987
107,103.80157,1.28475
108,103.80240,1.31167
110,103.80395,1.43981
111,103.80538,1.27396
112,103.80555,1.29307
113,103.80788,1.31843
114,103.80897,1.27763
116,103.81194,1.28968
117,103.81332,1.27050
118,103.81348,1.32225
119,103.81483,1.45445
120,103.81635,1.29465
121,103.81732,1.26804
122,103.81873,1.30689
123,103.81891,1.44514
124,103.82039,1.28326
125,103.82090,1.26478
126,103.82251,1.45056
127,103.82311,1.30895
128,103.82353,1.29063
129,103.82395,1.25633
130,103.82533,1.27386
131,103.82545,1.32066
132,103.82733,1.28833
133,103.82774,1.30711
134,103.82805,1.37096
135,103.82834,1.43333
136,103.82986,1.41030
137,103.83058,1.29563
138,103.83173,1.27699
139,103.83191,1.33848
140,103.83268,1.30948
141,103.83329,1.35974
142,103.83345,1.42383
143,103.83376,1.39418
144,103.83442,1.29075
145,103.83590,1.44373
146,103.83597,1.38074
147,103.83630,1.27321
148,103.83633,1.30356
149,103.83690,1.35191
150,103.83748,1.42848
151,103.83930,1.29058
152,103.83948,1.37001
153,103.83959,1.31161
154,103.84087,1.27668
156,103.84184,1.32653
157,103.84249,1.30146
158,103.84353,1.36173
160,103.84407,1.28640
161,103.84426,1.33831
162,103.84510,1.42950
163,103.84586,1.32335
164,103.84625,1.37445
165,103.84675,1.30875
167,103.84798,1.29023
168,103.84800,1.35159
169,103.84951,1.38768
170,103.84952,1.33568
171,103.85033,1.37218
172,103.85051,1.30451
173,103.85220,1.28268
175,103.85272,1.32242
176,103.85411,1.29873
177,103.85411,1.35849
